"Site","LC_Fluxnet","lon","lat","LC_MCD12Q1","ENF","EBF","DNF","DBF","MF","CSH","OSH","WSA","SAV","GRA","WET","CRO","URB","CVM","SNO","BSV","WAT"
"DE-Hai","DBF",10.4522,51.0792,"DBF",4.07118055555556,0,0,7.20138888888889,17.6875,0,0,3.08333333333333,5.390625,7.98263888888889,0.111111111111111,49.2048611111111,3.94270833333333,1.29861111111111,0,0,0.0260416666666667
"DE-Hte","WET",12.1761,54.2103,"SAV",0.371527777777778,0,0.0121527777777778,0.350694444444444,3.78645833333333,0,0,0.319444444444444,3.71354166666667,2.46527777777778,1.67708333333333,22.1944444444444,0.821180555555556,1.89236111111111,0,0,62.3958333333333
"DE-Kli","CRO",13.5224,50.8931,"CRO",9.72395833333333,0,0,4.02256944444444,17.6302083333333,0,0,6.80902777777778,11.5416666666667,9.46354166666667,0.201388888888889,30.5954861111111,7.32291666666667,2.62326388888889,0,0.00520833333333333,0.0607638888888889
"DE-Lkb","ENF",13.3047,49.0996,"SAV",15.5746527777778,0,0,0.550347222222222,23.3923611111111,0,0,6.47048611111111,13.2430555555556,7.67013888888889,0.0625,25.2517361111111,2.17708333333333,5.60763888888889,0,0,0
"DE-Lnf","DBF",10.3678,51.3282,"DBF",4.07118055555556,0,0,7.20138888888889,17.6875,0,0,3.08333333333333,5.390625,7.98263888888889,0.111111111111111,49.2048611111111,3.94270833333333,1.29861111111111,0,0,0.0260416666666667
"DE-Obe","ENF",13.7213,50.7867,"ENF",9.72395833333333,0,0,4.02256944444444,17.6302083333333,0,0,6.80902777777778,11.5416666666667,9.46354166666667,0.201388888888889,30.5954861111111,7.32291666666667,2.62326388888889,0,0.00520833333333333,0.0607638888888889
"DE-RuR","GRA",6.3041,50.6219,"SAV",1.08680555555556,0,0,0.253472222222222,21.8524305555556,0,0,4.30381944444444,22.1493055555556,9.19965277777778,0.0590277777777778,25.6614583333333,8.64930555555556,6.75347222222222,0,0,0.03125
"DE-RuS","CRO",6.4471,50.8659,"URB",0.637152777777778,0,0,1.97048611111111,29.9010416666667,0,0.00868055555555556,10.7847222222222,19.703125,7.79166666666667,0.350694444444444,15.390625,12.1510416666667,1.00694444444444,0,0,0.303819444444444
"DE-Seh","CRO",6.4497,50.8706,"CRO",0.637152777777778,0,0,1.97048611111111,29.9010416666667,0,0.00868055555555556,10.7847222222222,19.703125,7.79166666666667,0.350694444444444,15.390625,12.1510416666667,1.00694444444444,0,0,0.303819444444444
"DE-SfN","WET",11.3275,47.8064,"WSA",9.98090277777778,0,0,0.111111111111111,24.5677083333333,0,0.00347222222222222,19.3940972222222,10.8020833333333,29.1059027777778,0.142361111111111,1.18229166666667,1.96006944444444,0.369791666666667,0.140625,1.55381944444444,0.685763888888889
"DE-Spw","WET",14.0337,51.8922,"DBF",18.9201388888889,0,0,0.378472222222222,4.13715277777778,0.00173611111111111,0,6.77083333333333,10.0295138888889,9.39583333333333,0.682291666666667,41.4427083333333,5.44965277777778,2.14756944444444,0,0.0295138888888889,0.614583333333333
"DE-Tha","ENF",13.5651,50.9626,"MF",9.72395833333333,0,0,4.02256944444444,17.6302083333333,0,0,6.80902777777778,11.5416666666667,9.46354166666667,0.201388888888889,30.5954861111111,7.32291666666667,2.62326388888889,0,0.00520833333333333,0.0607638888888889
