"Site","LC_Fluxnet","lon","lat","LC_MCD12Q1_2021","ENF","EBF","DNF","DBF","MF","CSH","OSH","WSA","SAV","GRA","WET","CRO","URB","CVM","SNO","BSV","WAT"
"AU-GWW","SAV",120.6541,-30.1913,"SAV",0,0,0,0,0,40.0347222222222,33.5347222222222,0.00694444444444444,26.3611111111111,0.0555555555555556,0,0,0,0,0,0.00694444444444444,0
"AU-Gin","WSA",115.7138,-31.3764,"SAV",0.0555555555555556,0,0,0,0,0.805555555555556,0.895833333333333,2.96527777777778,27.6944444444444,25.5625,0.0277777777777778,3.07638888888889,0.0972222222222222,0,0,0.0208333333333333,38.7986111111111
"AU-How","WSA",131.1523,-12.4943,"SAV",0,0.0208333333333333,0,0,0,0,0,0,31.6319444444444,21.625,7.71527777777778,0,0,0,0,0.0833333333333333,38.9236111111111
"AU-Lox","DBF",140.6551,-34.4704,"GRA",0,0,0,0,0,6.16666666666667,24.5763888888889,0.631944444444444,3.27083333333333,64.7291666666667,0,0.0694444444444444,0.0902777777777778,0,0,0.138888888888889,0.326388888888889
"AU-RDF","WSA",132.4776,-14.5636,"GRA",0,0,0,0,0,0,12.9583333333333,0,0,87.0416666666667,0,0,0,0,0,0,0
"AU-Rig","GRA",145.5759,-36.6499,"CRO",2.17361111111111,24.4722222222222,0,0.0902777777777778,4.00694444444444,0,0.138888888888889,0.701388888888889,5.25694444444444,42.5694444444444,0.125,19.125,0.0416666666666667,0,0,0.138888888888889,1.15972222222222
"AU-Rob","EBF",145.6301,-17.1175,"EBF",0.00694444444444444,50.7638888888889,0,0,0,0.00694444444444444,0,0.826388888888889,10.3263888888889,8.78472222222222,1.52083333333333,10.2430555555556,0.298611111111111,0.701388888888889,0,0,16.5208333333333
"AU-Stp","GRA",133.3502,-17.1507,"GRA",0,0,0,0,0,3.22916666666667,13.6458333333333,0,0.0208333333333333,83.1041666666667,0,0,0,0,0,0,0
"AU-Tum","EBF",148.1517,-35.6566,"ENF",45.8055555555556,9.14583333333333,0,0.298611111111111,1.54861111111111,0,0.951388888888889,6.04861111111111,6.63888888888889,28.0486111111111,0.326388888888889,1.13888888888889,0,0,0,0,0.0486111111111111
"AU-Wac","EBF",145.1878,-37.4259,"EBF",0.229166666666667,21.2569444444444,0,0.0416666666666667,3.15277777777778,0,0.0486111111111111,5.33333333333333,37.5277777777778,31.6458333333333,0,0.548611111111111,0.215277777777778,0,0,0,0
"AU-Whr","EBF",145.0294,-36.6732,"GRA",0.0625,0.5,0,0,1.125,0.0625,0.0555555555555556,4.05555555555556,7.90277777777778,56.5416666666667,0.166666666666667,29.4583333333333,0.0138888888888889,0,0,0.0138888888888889,0.0416666666666667
"AU-Ync","GRA",146.2907,-34.9893,"GRA",0,0,0,0,0,0,0,0,0,79.3819444444444,0,20.5972222222222,0,0,0,0.0208333333333333,0
"BE-Bra","MF",4.5198,51.3076,"MF",0.263888888888889,0,0,0.0486111111111111,5.65972222222222,0,0,0.527777777777778,20.6458333333333,3.17361111111111,1.1875,14.1180555555556,23.7013888888889,23.9236111111111,0,0.00694444444444444,6.74305555555556
