"Site","LC_Fluxnet","lon","lat","LC_MCD12Q1_2021","ENF","EBF","DNF","DBF","MF","CSH","OSH","WSA","SAV","GRA","WET","CRO","URB","CVM","SNO","BSV","WAT"
"AR-SLu","MF",-66.4598,-33.4648,"OSH",0,0,0,0,0,0,97.9166666666667,0,0.694444444444444,1.38888888888889,0,0,0,0,0,0,0
"AR-Vir","ENF",-56.1886,-28.2395,"EBF",0,24.3055555555556,0,0,0,0,0,6.25,69.4444444444444,0,0,0,0,0,0,0,0
"AT-Neu","GRA",11.3175,47.1167,"GRA",31.9444444444444,0,0,0,8.33333333333333,0,0,13.1944444444444,6.25,38.8888888888889,0.694444444444444,0,0.694444444444444,0,0,0,0
"AU-Ade","WSA",131.1178,-13.0769,"GRA",0,0,0,0,0,0,0,0,2.08333333333333,97.9166666666667,0,0,0,0,0,0,0
"AU-Cpr","SAV",140.5891,-34.0021,"OSH",0,0,0,0,0,0,88.1944444444444,0,0,11.8055555555556,0,0,0,0,0,0,0
"AU-Cum","EBF",150.7236,-33.6152,"EBF",0,9.02777777777778,0,0,0,0,0,18.75,38.1944444444444,20.1388888888889,0,0,13.8888888888889,0,0,0,0
"AU-DaP","GRA",131.3181,-14.0633,"GRA",0,0,0,0,0,0,17.3611111111111,0,0,82.6388888888889,0,0,0,0,0,0,0
"AU-DaS","SAV",131.3881,-14.1593,"GRA",0,0,0,0,0,0,21.5277777777778,0,0,78.4722222222222,0,0,0,0,0,0,0
"AU-Dry","SAV",132.3706,-15.2588,"GRA",0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"AU-Emr","GRA",148.4746,-23.8587,"GRA",0,0,0,0,0,0,0,0,0.694444444444444,87.5,0,11.8055555555556,0,0,0,0,0
"AU-Fog","WET",131.3072,-12.5452,"GRA",0,0,0,0,0,0,0,0,63.1944444444444,36.8055555555556,0,0,0,0,0,0,0
"AU-GWW","SAV",120.6541,-30.1913,"SAV",0,0,0,0,0,14.5833333333333,62.5,0,22.9166666666667,0,0,0,0,0,0,0,0
"AU-Gin","WSA",115.7138,-31.3764,"SAV",0,0,0,0,0,0,0,9.72222222222222,89.5833333333333,0.694444444444444,0,0,0,0,0,0,0
"AU-How","WSA",131.1523,-12.4943,"SAV",0,0,0,0,0,0,0,0,72.2222222222222,27.7777777777778,0,0,0,0,0,0,0
"AU-Lox","DBF",140.6551,-34.4704,"GRA",0,0,0,0,0,0,0.694444444444444,0,0,99.3055555555556,0,0,0,0,0,0,0
"AU-RDF","WSA",132.4776,-14.5636,"GRA",0,0,0,0,0,0,15.9722222222222,0,0,84.0277777777778,0,0,0,0,0,0,0
"AU-Rig","GRA",145.5759,-36.6499,"CRO",0,0,0,0,0,0,0,0,0,50.6944444444444,0,49.3055555555556,0,0,0,0,0
"AU-Rob","EBF",145.6301,-17.1175,"EBF",0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AU-Stp","GRA",133.3502,-17.1507,"GRA",0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"AU-Tum","EBF",148.1517,-35.6566,"ENF",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AU-Wac","EBF",145.1878,-37.4259,"EBF",0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AU-Whr","EBF",145.0294,-36.6732,"GRA",0,0,0,0,0,0,0,9.02777777777778,0,90.9722222222222,0,0,0,0,0,0,0
"AU-Ync","GRA",146.2907,-34.9893,"GRA",0,0,0,0,0,0,0,0,0,94.4444444444444,0,5.55555555555556,0,0,0,0,0
"BE-Bra","MF",4.5198,51.3076,"MF",0,0,0,0,37.5,0,0,7.63888888888889,50,0,0,0,4.86111111111111,0,0,0,0
"BE-Lon","CRO",4.7461,50.5516,"CRO",0,0,0,0,0,0,0,0,0,0,0,95.8333333333333,0,4.16666666666667,0,0,0
"BE-Vie","MF",5.9981,50.305,"MF",5.55555555555556,0,0,0,69.4444444444444,0,0,2.08333333333333,22.2222222222222,0.694444444444444,0,0,0,0,0,0,0
"BR-Sa3","EBF",-54.9714,-3.018,"EBF",0,96.5277777777778,0,0,0,0,0,3.47222222222222,0,0,0,0,0,0,0,0,0
"CA-Man","ENF",-98.4808,55.8796,"WSA",18.75,0,0,0,0,0,0,81.25,0,0,0,0,0,0,0,0,0
"CA-NS1","ENF",-98.4839,55.8792,"WSA",18.75,0,0,0,0,0,0,81.25,0,0,0,0,0,0,0,0,0
"CA-NS2","ENF",-98.5247,55.9058,"ENF",21.5277777777778,0,0,0,0,0,0,78.4722222222222,0,0,0,0,0,0,0,0,0
"CA-NS3","ENF",-98.3822,55.9117,"WSA",35.4166666666667,0,0,0,0,0,0,64.5833333333333,0,0,0,0,0,0,0,0,0
"CA-NS4","ENF",-98.3806,55.9144,"WSA",35.4166666666667,0,0,0,0,0,0,64.5833333333333,0,0,0,0,0,0,0,0,0
"CA-NS5","ENF",-98.485,55.8631,"WSA",27.7777777777778,0,0,0,0,0,0,72.2222222222222,0,0,0,0,0,0,0,0,0
"CA-NS6","OSH",-98.9644,55.9167,"WSA",13.1944444444444,0,0.694444444444444,0,4.16666666666667,0,0,81.9444444444444,0,0,0,0,0,0,0,0,0
