"Site","LC_Fluxnet","lon","lat","LC_MCD12Q1_2021","ENF","EBF","DNF","DBF","MF","CSH","OSH","WSA","SAV","GRA","WET","CRO","URB","CVM","SNO","BSV","WAT"
"CA-NS7","OSH",-99.9483,56.6358,"WSA",7.63888888888889,0,0,0,1.38888888888889,0,0,88.8888888888889,0,0,1.38888888888889,0,0,0,0,0,0.694444444444444
"CA-Qfo","ENF",-74.3421,49.6925,"WSA",0,0,0,0,0,0,0,96.5277777777778,3.47222222222222,0,0,0,0,0,0,0,0
"CA-SF1","ENF",-105.8176,54.485,"WSA",36.8055555555556,0,0,0,0,0,0,56.9444444444444,0,0.694444444444444,0.694444444444444,0,0,0,0,0,4.86111111111111
"CA-SF2","ENF",-105.8775,54.2539,"ENF",71.5277777777778,0,0,0,8.33333333333333,0,0,20.1388888888889,0,0,0,0,0,0,0,0,0
"CA-SF3","OSH",-106.0053,54.0916,"ENF",25,0,0.694444444444444,0,8.33333333333333,0,0,63.8888888888889,0,0,2.08333333333333,0,0,0,0,0,0
"CH-Cha","GRA",8.4104,47.2102,"SAV",0,0,0,0,2.77777777777778,0,0,2.08333333333333,20.1388888888889,38.1944444444444,0,5.55555555555556,0,31.25,0,0,0
"CH-Dav","ENF",9.8559,46.8153,"WSA",2.08333333333333,0,0,0,3.47222222222222,0,0,18.75,6.25,61.8055555555556,0,0,0.694444444444444,0,0,6.94444444444444,0
"CH-Fru","GRA",8.5378,47.1158,"GRA",0.694444444444444,0,0,0,40.2777777777778,0,0,9.72222222222222,29.8611111111111,15.9722222222222,0,0,3.47222222222222,0,0,0,0
"CH-Lae","MF",8.365,47.4781,"DBF",0,0,0,11.1111111111111,19.4444444444444,0,0,6.25,25.6944444444444,4.16666666666667,0,12.5,0.694444444444444,20.1388888888889,0,0,0
"CH-Oe1","GRA",7.7319,47.2858,"CRO",0,0,0,11.8055555555556,2.08333333333333,0,0,7.63888888888889,14.5833333333333,4.86111111111111,0,34.0277777777778,12.5,12.5,0,0,0
"CH-Oe2","CRO",7.7343,47.2863,"CRO",0,0,0,11.8055555555556,2.08333333333333,0,0,7.63888888888889,14.5833333333333,4.86111111111111,0,34.0277777777778,12.5,12.5,0,0,0
"CN-Cha","MF",128.0958,42.4025,"DBF",0,0,0,52.7777777777778,0.694444444444444,0,0,4.86111111111111,0,9.72222222222222,0,1.38888888888889,30.5555555555556,0,0,0,0
"CN-Cng","GRA",123.5092,44.5934,"GRA",0,0,0,0,0,0,0,0,0,79.1666666666667,0,20.8333333333333,0,0,0,0,0
"CN-Dan","GRA",91.0664,30.4978,"GRA",0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"CN-Din","EBF",112.5361,23.1733,"EBF",0,24.3055555555556,0,0,0,0,0,4.16666666666667,40.9722222222222,0,2.08333333333333,0,27.7777777777778,0,0,0,0.694444444444444
"CN-Du2","GRA",116.2836,42.0467,"GRA",0,0,0,0,0,0,0,0,0,88.1944444444444,0,11.8055555555556,0,0,0,0,0
"CN-Ha2","WET",101.3269,37.6086,"GRA",0,0,0,0,0,0,0,0,0,95.8333333333333,0,4.16666666666667,0,0,0,0,0
"CN-HaM","GRA",101.18,37.37,"GRA",0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"CN-Qia","ENF",115.0581,26.7414,"MF",0,3.47222222222222,0,0,5.55555555555556,0,0,43.0555555555556,38.8888888888889,2.77777777777778,0,4.86111111111111,0,1.38888888888889,0,0,0
"CN-Sw2","GRA",111.8971,41.7902,"GRA",0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"CZ-wet","WET",14.7704,49.0247,"SAV",2.08333333333333,0,0,0,8.33333333333333,0,0,4.86111111111111,12.5,10.4166666666667,13.8888888888889,34.0277777777778,10.4166666666667,0.694444444444444,0,0,2.77777777777778
"DE-Akm","WET",13.6834,53.8662,"URB",0.694444444444444,0,0,1.38888888888889,4.86111111111111,0,0,1.38888888888889,8.33333333333333,13.1944444444444,3.47222222222222,42.3611111111111,18.75,5.55555555555556,0,0,0
"DE-Geb","CRO",10.9143,51.1001,"CRO",0,0,0,0,0,0,0,0,0.694444444444444,2.08333333333333,0,97.2222222222222,0,0,0,0,0
"DE-Gri","GRA",13.5126,50.95,"SAV",29.8611111111111,0,0,0,34.0277777777778,0,0,2.08333333333333,8.33333333333333,4.86111111111111,0,19.4444444444444,0,1.38888888888889,0,0,0
"DE-Hai","DBF",10.453,51.0792,"DBF",0,0,0,65.9722222222222,6.25,0,0,4.16666666666667,4.16666666666667,3.47222222222222,0,15.9722222222222,0,0,0,0,0
"DE-Kli","CRO",13.5224,50.8931,"CRO",1.38888888888889,0,0,0,2.08333333333333,0,0,0,4.16666666666667,2.08333333333333,0,88.1944444444444,0,2.08333333333333,0,0,0
"DE-Lkb","ENF",13.3047,49.0996,"SAV",6.25,0,0,0,61.8055555555556,0,0,26.3888888888889,4.86111111111111,0.694444444444444,0,0,0,0,0,0,0
"DE-Obe","ENF",13.7213,50.7867,"ENF",50.6944444444444,0,0,0,34.0277777777778,0,0,6.94444444444444,6.94444444444444,0,0,0,1.38888888888889,0,0,0,0
"DE-RuR","GRA",6.3041,50.6219,"SAV",13.1944444444444,0,0,0,41.6666666666667,0,0,8.33333333333333,36.1111111111111,0,0,0,0.694444444444444,0,0,0,0
"DE-RuS","CRO",6.4472,50.8659,"URB",0,0,0,0,0,0,0,0,4.16666666666667,10.4166666666667,0,51.3888888888889,33.3333333333333,0.694444444444444,0,0,0
"DE-Seh","CRO",6.4497,50.8706,"CRO",0,0,0,0,0,0,0,0,4.16666666666667,10.4166666666667,0,51.3888888888889,33.3333333333333,0.694444444444444,0,0,0
"DE-SfN","WET",11.3275,47.8064,"WSA",2.77777777777778,0,0,0,58.3333333333333,0,0,9.72222222222222,15.2777777777778,4.86111111111111,1.38888888888889,0,0,0,0,0,7.63888888888889
"DE-Spw","WET",14.0337,51.8923,"DBF",0,0,0,61.1111111111111,0.694444444444444,0,0,29.8611111111111,8.33333333333333,0,0,0,0,0,0,0,0
"DE-Tha","ENF",13.5652,50.9624,"MF",29.8611111111111,0,0,0,34.0277777777778,0,0,2.08333333333333,8.33333333333333,4.86111111111111,0,19.4444444444444,0,1.38888888888889,0,0,0
"DK-Fou","CRO",9.5872,56.4842,"CVM",0,0,0,0,0,0,0,0,1.38888888888889,0.694444444444444,0,36.1111111111111,0,61.8055555555556,0,0,0
"GL-NuF","WET",-51.3861,64.1308,"GRA",0.694444444444444,0,0,0,0,0,0,0,0.694444444444444,50,11.8055555555556,0,0,0,0,29.8611111111111,6.94444444444444
"DK-Sor","DBF",11.6446,55.4859,"CVM",0,0,0,0,0,0,0,0,0.694444444444444,3.47222222222222,2.08333333333333,90.2777777777778,0,2.77777777777778,0,0,0.694444444444444
"GL-ZaF","WET",-20.5545,74.4814,"GRA",0,0,0,0,0,0,0,0,0,94.4444444444444,0,0,0,0,0,0.694444444444444,4.86111111111111
"GL-ZaH","GRA",-20.5503,74.4733,"GRA",0,0,0,0,0,0,0,0,0,53.4722222222222,0,0,0,0,2.77777777777778,22.9166666666667,20.8333333333333
"ES-LgS","OSH",-2.9658,37.0979,"SAV",0,0,0,0,0,0,0,0,30.5555555555556,65.2777777777778,4.16666666666667,0,0,0,0,0,0
"ES-Ln2","OSH",-3.4758,36.9695,"SAV",0,0,0,0,0,0,0,0,96.5277777777778,2.77777777777778,0,0.694444444444444,0,0,0,0,0
"FI-Hyy","ENF",24.2948,61.8474,"ENF",72.9166666666667,0,0,0,8.33333333333333,0,0,18.0555555555556,0,0.694444444444444,0,0,0,0,0,0,0
"FI-Jok","CRO",23.5135,60.8986,"SAV",0.694444444444444,0,0,0,8.33333333333333,0,0,27.0833333333333,14.5833333333333,49.3055555555556,0,0,0,0,0,0,0
"FI-Lom","WET",24.2092,67.9972,"WSA",2.08333333333333,0,0,0,0,0,0,87.5,10.4166666666667,0,0,0,0,0,0,0,0
"FI-Sod","ENF",26.6386,67.3624,"SAV",0,0,0,0,0,0,0,47.2222222222222,50,0,2.77777777777778,0,0,0,0,0,0
"FR-Fon","DBF",2.7801,48.4764,"DBF",0,0,0,15.9722222222222,31.9444444444444,0,0,12.5,4.86111111111111,15.2777777777778,0.694444444444444,18.0555555555556,0.694444444444444,0,0,0,0
"FR-LBr","ENF",-0.7693,44.7171,"WSA",16.6666666666667,0,0,0,5.55555555555556,0,0,52.0833333333333,10.4166666666667,10.4166666666667,0,2.08333333333333,2.77777777777778,0,0,0,0
"FR-Pue","EBF",3.5957,43.7413,"ENF",15.2777777777778,2.08333333333333,0,0,0,0,0,47.2222222222222,22.2222222222222,11.8055555555556,0,0,1.38888888888889,0,0,0,0
"GF-Guy","EBF",-52.9249,5.2788,"EBF",0,96.5277777777778,0,0,0,0,0,3.47222222222222,0,0,0,0,0,0,0,0,0
"IT-BCi","CRO",14.9574,40.5238,"CRO",0,0,0,0,0,0,0,0,0,1.38888888888889,1.38888888888889,55.5555555555556,40.9722222222222,0,0,0,0.694444444444444
"IT-CA1","DBF",12.0266,42.3804,"CRO",0,0,0,0,0,0,0,0,5.55555555555556,2.08333333333333,0,79.8611111111111,0,12.5,0,0,0
"IT-CA2","CRO",12.026,42.3772,"CRO",0,0,0,0,0,0,0,0,5.55555555555556,2.08333333333333,0,79.8611111111111,0,12.5,0,0,0
"IT-CA3","DBF",12.0222,42.38,"CRO",0,0,0,0,0,0,0,0,5.55555555555556,2.08333333333333,0,79.8611111111111,0,12.5,0,0,0
"IT-Col","DBF",13.5881,41.8494,"DBF",10.4166666666667,0.694444444444444,0,9.72222222222222,0,0,0,24.3055555555556,41.6666666666667,13.1944444444444,0,0,0,0,0,0,0
"IT-Cp2","EBF",12.3573,41.7043,"EBF",12.5,22.9166666666667,0,0,2.77777777777778,0,0,0,43.75,2.08333333333333,1.38888888888889,0.694444444444444,10.4166666666667,0.694444444444444,0,0,2.77777777777778
"IT-Cpz","EBF",12.3761,41.7053,"EBF",12.5,22.9166666666667,0,0,2.77777777777778,0,0,0,43.75,2.08333333333333,1.38888888888889,0.694444444444444,10.4166666666667,0.694444444444444,0,0,2.77777777777778
"IT-Isp","DBF",8.6336,45.8126,"WSA",0,0,0,6.25,1.38888888888889,0,0,51.3888888888889,23.6111111111111,0,3.47222222222222,0,10.4166666666667,0,0,0,3.47222222222222
"IT-La2","ENF",11.2853,45.9542,"MF",8.33333333333333,0,0,11.8055555555556,49.3055555555556,0,0,13.8888888888889,3.47222222222222,6.25,0,4.86111111111111,2.08333333333333,0,0,0,0
"IT-Lav","ENF",11.2813,45.9562,"MF",8.33333333333333,0,0,11.8055555555556,49.3055555555556,0,0,13.8888888888889,3.47222222222222,6.25,0,4.86111111111111,2.08333333333333,0,0,0,0
"IT-MBo","GRA",11.0458,46.0147,"GRA",0.694444444444444,0,0,26.3888888888889,22.2222222222222,0,0,33.3333333333333,6.94444444444444,9.02777777777778,0,0,0,1.38888888888889,0,0,0
"IT-Noe","CSH",8.1512,40.6062,"ENF",4.86111111111111,7.63888888888889,0,0,0,0,0,1.38888888888889,0.694444444444444,0,7.63888888888889,0,0,0,0,0.694444444444444,77.0833333333333
"IT-PT1","DBF",9.061,45.2009,"CRO",0,0,0,1.38888888888889,0,0,0,0,3.47222222222222,8.33333333333333,0,79.1666666666667,0,7.63888888888889,0,0,0
"IT-Ren","ENF",11.4337,46.5869,"ENF",46.5277777777778,0,0,0,9.02777777777778,0,0,30.5555555555556,9.72222222222222,4.16666666666667,0,0,0,0,0,0,0
"IT-Ro1","DBF",11.93,42.4081,"WSA",0,0,0,0.694444444444444,0,0,0,3.47222222222222,11.8055555555556,0,0,72.2222222222222,0,11.8055555555556,0,0,0
"IT-Ro2","DBF",11.9209,42.3903,"SAV",0,0,0,4.16666666666667,0,0,0,4.86111111111111,22.2222222222222,0.694444444444444,0,47.9166666666667,0,20.1388888888889,0,0,0
"IT-SR2","ENF",10.291,43.732,"EBF",26.3888888888889,5.55555555555556,0,0,4.86111111111111,0,0,2.08333333333333,0.694444444444444,0,6.94444444444444,0,0,0,0,0.694444444444444,52.7777777777778
"IT-SRo","ENF",10.2844,43.7279,"ENF",26.3888888888889,5.55555555555556,0,0,4.86111111111111,0,0,2.08333333333333,0.694444444444444,0,6.94444444444444,0,0,0,0,0.694444444444444,52.7777777777778
"IT-Tor","GRA",7.5781,45.8444,"GRA",0,0,0,0,6.94444444444444,0,0,28.4722222222222,25,39.5833333333333,0,0,0,0,0,0,0
"JP-MBF","DBF",142.3186,44.3869,"WSA",0.694444444444444,0,0,21.5277777777778,20.8333333333333,0,0,37.5,0.694444444444444,18.75,0,0,0,0,0,0,0
"JP-SMF","MF",137.0788,35.2617,"ENF",21.5277777777778,0,0,0,30.5555555555556,0,0,15.9722222222222,11.1111111111111,0,0,0,20.1388888888889,0.694444444444444,0,0,0
"NL-Hor","GRA",5.0713,52.2404,"GRA",0,0,0,0,15.2777777777778,0,0,2.08333333333333,56.25,6.25,2.77777777777778,0,9.72222222222222,0,0,0,7.63888888888889
"SJ-Adv","WET",15.923,78.186,"GRA",0,0,0,0,0,0,0,0,0,61.1111111111111,0,0,0.694444444444444,0,0,38.1944444444444,0
"SJ-Blv","SNO",11.8311,78.9216,"GRA",0,0,0,0,0,0,0,0,0,13.1944444444444,0.694444444444444,0,1.38888888888889,0,0.694444444444444,59.0277777777778,25
"RU-Che","WET",161.3414,68.613,"OSH",0.694444444444444,0,0,0,0,0,75,0,0,0.694444444444444,8.33333333333333,0,0,0,0,0,15.2777777777778
"RU-Cok","OSH",147.4943,70.8291,"OSH",0,0,0,0,0,0,97.2222222222222,0,0,0,1.38888888888889,0,0,0,0,0,1.38888888888889
"RU-Fyo","ENF",32.9221,56.4615,"MF",13.8888888888889,0,0,0,86.1111111111111,0,0,0,0,0,0,0,0,0,0,0,0
"RU-Ha1","GRA",90.0022,54.7252,"GRA",0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"SD-Dem","SAV",30.4783,13.2829,"GRA",0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"SN-Dhr","SAV",-15.4322,15.4028,"GRA",0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"US-AR1","GRA",-99.42,36.4267,"GRA",0,0,0,0,0,0,0,0,0,67.3611111111111,0,0,32.6388888888889,0,0,0,0
"US-AR2","GRA",-99.5975,36.6358,"GRA",0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"US-ARM","CRO",-97.4888,36.6058,"CRO",0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
"US-ARb","GRA",-98.0402,35.5497,"CRO",0,0,0,0,0,0,0,0,0,8.33333333333333,0,90.2777777777778,1.38888888888889,0,0,0,0
"US-ARc","GRA",-98.04,35.5465,"CRO",0,0,0,0,0,0,0,0,0,8.33333333333333,0,90.2777777777778,1.38888888888889,0,0,0,0
"US-Blo","ENF",-120.6328,38.8953,"WSA",9.02777777777778,0,0,0,0,0,0,21.5277777777778,7.63888888888889,61.8055555555556,0,0,0,0,0,0,0
"US-Cop","GRA",-109.39,38.09,"GRA",0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"US-GBT","ENF",-106.2397,41.3658,"GRA",4.16666666666667,0,0,0,0,0,0,23.6111111111111,0,72.2222222222222,0,0,0,0,0,0,0
"US-GLE","ENF",-106.2399,41.3665,"GRA",4.16666666666667,0,0,0,0,0,0,23.6111111111111,0,72.2222222222222,0,0,0,0,0,0,0
"US-Ha1","DBF",-72.1715,42.5378,"DBF",0,0,0,72.9166666666667,26.3888888888889,0,0,0.694444444444444,0,0,0,0,0,0,0,0,0
"US-KS2","CSH",-80.6715,28.6086,"SAV",0.694444444444444,6.25,0,0,0,0,0,34.0277777777778,47.9166666666667,0,5.55555555555556,0,0,0,0,0,5.55555555555556
"US-Los","WET",-89.9792,46.0827,"WSA",0,0,0,15.2777777777778,38.8888888888889,0,0,45.8333333333333,0,0,0,0,0,0,0,0,0
"US-MMS","DBF",-86.4131,39.3232,"DBF",0,0,0,99.3055555555556,0,0,0,0.694444444444444,0,0,0,0,0,0,0,0,0
"US-Me1","ENF",-121.5,44.5794,"WSA",2.77777777777778,0,0,0,0,0,0,6.94444444444444,0,90.2777777777778,0,0,0,0,0,0,0
"US-Me2","ENF",-121.5574,44.4523,"ENF",67.3611111111111,0,0,0,0,0,0,18.0555555555556,0,14.5833333333333,0,0,0,0,0,0,0
"US-Me6","ENF",-121.6078,44.3233,"WSA",10.4166666666667,0,0,0,0,0,0,81.25,0.694444444444444,7.63888888888889,0,0,0,0,0,0,0
"US-Myb","WET",-121.7651,38.0498,"GRA",0,0,0,0,0,0,0,0,2.77777777777778,38.8888888888889,11.1111111111111,18.75,2.08333333333333,0,0,0,26.3888888888889
"US-NR1","ENF",-105.5464,40.0329,"ENF",14.5833333333333,0,0,0,0,0,0,59.0277777777778,7.63888888888889,18.75,0,0,0,0,0,0,0
"US-Ne1","CRO",-96.4766,41.1651,"CRO",0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
"US-Ne2","CRO",-96.4701,41.1649,"CRO",0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
"US-Ne3","CRO",-96.4397,41.1797,"CRO",0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
"US-ORv","WET",-83.0183,40.0201,"URB",0,0,0,0,0,0,0,0,2.08333333333333,5.55555555555556,0,0,92.3611111111111,0,0,0,0
"US-PFa","MF",-90.2723,45.9459,"WSA",0,0,0,42.3611111111111,47.2222222222222,0,0,10.4166666666667,0,0,0,0,0,0,0,0,0
"US-SRG","GRA",-110.8277,31.7894,"GRA",0,0,0,0,0,0,39.5833333333333,0,3.47222222222222,56.9444444444444,0,0,0,0,0,0,0
"US-SRM","WSA",-110.8661,31.8214,"GRA",0,0,0,0,0,0,71.5277777777778,0,0,28.4722222222222,0,0,0,0,0,0,0
"US-Syv","MF",-89.3477,46.242,"MF",0,0,0,3.47222222222222,95.1388888888889,0,0,1.38888888888889,0,0,0,0,0,0,0,0,0
"US-Ton","WSA",-120.966,38.4316,"SAV",0,0,0,0,0,1.38888888888889,0,0.694444444444444,63.1944444444444,34.7222222222222,0,0,0,0,0,0,0
"US-Tw1","WET",-121.6469,38.1074,"GRA",0,0,0,0,0,0,0,0,2.08333333333333,26.3888888888889,1.38888888888889,55.5555555555556,3.47222222222222,1.38888888888889,0,0,9.72222222222222
"US-Tw2","CRO",-121.6433,38.1047,"GRA",0,0,0,0,0,0,0,0,2.08333333333333,26.3888888888889,1.38888888888889,55.5555555555556,3.47222222222222,1.38888888888889,0,0,9.72222222222222
"US-Tw3","CRO",-121.6467,38.1159,"CRO",0,0,0,0,0,0,0,0,2.08333333333333,26.3888888888889,1.38888888888889,55.5555555555556,3.47222222222222,1.38888888888889,0,0,9.72222222222222
"US-Tw4","WET",-121.6414,38.103,"GRA",0,0,0,0,0,0,0,0,2.08333333333333,26.3888888888889,1.38888888888889,55.5555555555556,3.47222222222222,1.38888888888889,0,0,9.72222222222222
"US-Twt","CRO",-121.653,38.1087,"CRO",0,0,0,0,0,0,0,0,2.08333333333333,26.3888888888889,1.38888888888889,55.5555555555556,3.47222222222222,1.38888888888889,0,0,9.72222222222222
"US-UMB","DBF",-84.7138,45.5598,"DBF",3.47222222222222,0,0,47.2222222222222,13.8888888888889,0,0,29.8611111111111,2.77777777777778,2.77777777777778,0,0,0,0,0,0,0
"US-UMd","DBF",-84.6975,45.5625,"DBF",0,0,0,39.5833333333333,0.694444444444444,0,0,27.7777777777778,2.77777777777778,1.38888888888889,0,0,0,0,0,0,27.7777777777778
"US-Var","GRA",-120.9507,38.4133,"GRA",0,0,0,0,0,1.38888888888889,0,0.694444444444444,63.1944444444444,34.7222222222222,0,0,0,0,0,0,0
"US-WCr","DBF",-90.0799,45.8059,"DBF",0,0,0,52.0833333333333,27.7777777777778,0,0,20.1388888888889,0,0,0,0,0,0,0,0,0
"US-Whs","OSH",-110.0522,31.7438,"GRA",0,0,0,0,0,0,35.4166666666667,0,0,64.5833333333333,0,0,0,0,0,0,0
"US-Wi0","ENF",-91.0814,46.6188,"MF",0,0,0,59.7222222222222,29.1666666666667,0,0,11.1111111111111,0,0,0,0,0,0,0,0,0
"US-Wi3","DBF",-91.0987,46.6347,"DBF",0,0,0,59.7222222222222,29.1666666666667,0,0,11.1111111111111,0,0,0,0,0,0,0,0,0
"US-Wi4","ENF",-91.1663,46.7393,"MF",0,0,0,11.8055555555556,84.7222222222222,0,0,3.47222222222222,0,0,0,0,0,0,0,0,0
"US-Wi6","OSH",-91.2982,46.6249,"WSA",0,0,0,29.8611111111111,2.08333333333333,0,0,65.9722222222222,0,2.08333333333333,0,0,0,0,0,0,0
"US-Wi9","ENF",-91.0814,46.6188,"MF",0,0,0,59.7222222222222,29.1666666666667,0,0,11.1111111111111,0,0,0,0,0,0,0,0,0
"US-Wkg","GRA",-109.9419,31.7365,"GRA",0,0,0,0,0,0,12.5,0,0,87.5,0,0,0,0,0,0,0
"ZM-Mon","DBF",23.2528,-15.4378,"GRA",0,0,0,0,0,0,0,0,4.86111111111111,95.1388888888889,0,0,0,0,0,0,0
"AU-ASM","ENF",133.249,-22.283,"OSH",0,0,0,0,0,9.02777777777778,90.9722222222222,0,0,0,0,0,0,0,0,0,0
"AU-TTE","OSH",133.64,-22.287,"OSH",0,0,0,0,0,0,99.3055555555556,0,0,0.694444444444444,0,0,0,0,0,0,0
"AU-Wom","EBF",144.0944,-37.4222,"EBF",0,59.0277777777778,0,0,0,0,0,0.694444444444444,15.9722222222222,20.1388888888889,0,4.16666666666667,0,0,0,0,0
"BR-Sa1","EBF",-54.9589,-2.8567,"EBF",0,97.9166666666667,0,0,0,0,0,1.38888888888889,0.694444444444444,0,0,0,0,0,0,0,0
"CA-Gro","MF",-82.1556,48.2167,"MF",5.55555555555556,0,0,2.08333333333333,88.1944444444444,0,0,2.77777777777778,1.38888888888889,0,0,0,0,0,0,0,0
"CA-Oas","DBF",-106.1978,53.6289,"DBF",21.5277777777778,0,9.72222222222222,15.2777777777778,27.7777777777778,0,0,25.6944444444444,0,0,0,0,0,0,0,0,0
"CA-Obs","ENF",-105.1178,53.9872,"ENF",25,0,0,0,0.694444444444444,0,0,74.3055555555556,0,0,0,0,0,0,0,0,0
"CA-TP1","ENF",-80.5595,42.6609,"CRO",0,0,0,3.47222222222222,0,0,0,3.47222222222222,6.25,4.16666666666667,0,71.5277777777778,0,11.1111111111111,0,0,0
